id,query_string,repository_id,repository_url,project_url,version,title,description,language,doi,upload_date,download_date,download_repository_folder,download_project_folder,download_version_folder,download_method
145,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/EK1ZWU,1.2,"Cross-National Value of Children Study: United States Sample, 1975","The purpose of this study was to explore the motivational factors that lie behind the desire for children. In particular, the needs that children satisfy, as well as the costs, both emotional and financial, were assessed and analyzed. The Value and Costs of Children to Parents data set is a subset of data from the Cross-National Value of Children Study, a cooperative research project conducted in 1975 involving investigators from eight countries: Indonesia, Singapore, Korea, Taiwan, Thailand, the Philippines, Turkey, and the United States.
<br /><br />

Investigators of the Cross-National Value of Children Study were concerned primarily with the psychological satisfactions that children are perceived as providing for their parents, and the relationship between these and fertility attitudes and behavior. The goal of the study was to understand better what needs children are perceived as satisfying, how the availability of alternative sources of satisfaction affect these views, and how the particular needs translate to the number of children desired.<br /><br />

The Murray Research Archive holds numeric file data from the United States sample, consisting of 1,569 women and 456 of their husbands.",,10.7910/DVN/EK1ZWU,2022-02-20,2026-04-20T23:43:08,harvard-murray-archive,10.7910_DVN_EK1ZWU,v1.2,API-CALL
146,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/Y5LGP0,1.5,"Adjustment to Separation and Divorce, 1977","The purpose of this study was to examine the diversity of experience following the breakup of a marriage. The social, psychological, economic, and legal aspects of marital separation were addressed. The sample comprised 205 respondents. Fifty were separated and 155 were already divorced. Ninety-one men and 114 women participated. The participants' ages ranged from 20 to 67 with a mean age of 33. All respondents were White. Of the divorces granted, 96% were uncontested. The participants had been separated between one and 26 months; and the average marriage lasted nine years, with a range of four months to 45 years.
<br /><br />
A face-to-face structured interview was employed. The interview was divided into the following sections: background information about the marital interaction, relationship with spouse since separation, social network, legal matters, mental and physical health, sexual relationships, and economics. A follow-up study was conducted two years later (see related studies).",,10.7910/DVN/Y5LGP0,2023-05-04,2026-04-20T23:43:19,harvard-murray-archive,10.7910_DVN_Y5LGP0,v1.5,API-CALL
147,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/BD3ZFO,2.3,"Antecedents of Artistic Success: A Study of the Early Lives of Women Visual Artists, 1978","This study examined the early development and family backgrounds of two groups of female visual artists: (1) those who have attained considerable success and recognition as professional artists; and (2) those who also consider themselves to be professional artists but who have obtained less recognition for their work in art.
<br /><br />

Thirty women between the ages of 26 and 45 who considered themselves to be professional sculptors, graphic artists, metalsmiths, ceramists, and photographers were recruited from a well-known artists' union and from advanced art classes in the continuing education division of a recognized professional art school in a large Eastern seacoast city. Specified external criteria were used to differentiate the more successful from the less successful artists within this sample of women.<br /><br />

Data were collected in a personal interview session with each participant by means of: (1) a personal data questionnaire, which included typical background and demographic items; (2) an in-depth interview, which included sections concerning recollections of childhood activities and interests, parents' child-rearing techniques, and the participant's present life situation; (3) the Kinetic-Family-Drawing projective drawing technique; and (4) the Thematic Apperception Test (TAT), consisting of five pictures specifically selected for their portrayal of women in several different social and work-related situations.
<br /><br />

The Murray Archive holds additional analogue materials for this study (copies of Thematic Apperception Test protocols, interview transcripts, copies of Kinetic-Family-Drawings, and numeric file data). If  you would like to access this material, please apply to use the data.",,10.7910/DVN/BD3ZFO,2022-02-22,2026-04-20T23:43:29,harvard-murray-archive,10.7910_DVN_BD3ZFO,v2.3,API-CALL
148,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/FNOAHP,3.1,"Longitudinal Study of the Harvard/Radcliffe Class of 1996, 1992-1996","This longitudinal, qualitative study examined the expectations for and experiences in college, factors that helped or hindered academic and social success, and long-term goals of members of the Harvard/Radcliffe Class of 1996. There was also a focus on the differences reported by male and female students in science and humanities concentrations.
<br /><br />  Students were randomly selected in each of four categories: Females and males who had indicated plans to concentrate in a humanities or a science field on their college applications. In addition, students were selected who had participated in two programs offered by Radcliffe College designed to encourage females interested in science. Questionnaires were sent to these students in the fall of 1992, and 66 were returned. Interviews were scheduled and completed for 47 students during their first or second year (Time 1); they ranged in length from 45 to 90 minutes. During their junior year, a follow-up questionnaire was sent to the 66 students who had originally sent back questionnaires. Questionnaires were returned by 55 students and interviews were conducted during their senior years for 52 students (Time 2).<br /><br />  Questionnaires were used to obtain demographic and family background information, and to determine important factors in choosing a college major and important influences on their choice of college major and future careers. In-depth interviews probed participants' reflections on their experiences at Harvard and Radcliffe, how well their hopes and expectations had been met, what could be done better, experiences with professors and other students, experiences of discrimination and frustration, study habits, what they expect to be doing in 5, 10, and 15-20 years, and how they would advise an incoming student.
<br /><br />  The Murray Research Archive holds all paper questionnaires and audiotaped interviews as original records. In addition, the coded questionnaire data are available in machine-readable form and the interview transcripts are available as computer text files.  <br/><br /><b>Audio Data Availability Note:</b> This study contains audio data that have been digitized. There are 182 audio files available.",,10.7910/DVN/FNOAHP,2022-09-27,2026-04-20T23:43:41,harvard-murray-archive,10.7910_DVN_FNOAHP,v3.1,API-CALL
149,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/8LX9AW,5.3,"Lives In Progress, 1938-1965","Five intensive personality studies were conducted by White and his colleagues in the years 1938 to 1965 to advance the understanding of personality and growth over time on an individual level. The five studies are:
<br />  <br />

1. White Group 1, 1938-1940: 20 Harvard College undergraduates were studied in 1938-1939. Nine of the men were followed up in 1939-1940, and three were studied a third time in 1949-1950.<br />  <br />

2. White Group 2, 1945: Four Harvard and four Radcliffe undergraduates were studied intensively. <br />  <br />

3. Smith-Bruner-White Group, 1946-1947: Ten men aged mid-20s to mid-40s were studied. This study focused on the relationship between personality and political opinions a
nd attitudes. <br />  <br />

4. White Group 3, 1944-1950: Eleven students, seven male and four female, were studied by graduate students in psychology at Harvard. <br /> <br />

5. White-Riggs Group, 1963-1965: Seven extensive and unstructured life history interviews were conducted, two of women and five of men. Follow-up interviews in 1966, 1969, 1976, and 1980 were conducted with one of the female participants.<br /><br />

Data collected from some or all of these participants include a written autobiography; extensive interviews covering family, parents' personalities, early memories, school and college history, social relationships, health, sex, religious beliefs, emotions, abilities and talents, current interests, ethical values, opinions and attitudes, and general outlook on life; standardized tests such as the Wechsler-Bellevue Adult Intelligence Test, the Vygotsky Concept Formation Values, Rorschach, Thematic Apperception Test (TAT), a sentence completion test, and a free association hour. In addition, for older participants and in follow-up studies, extensive interviews concerning relationships with parents and siblings, marriage and family, childbearing, occupational satisfactions and frustrations, social life, and personal values and ideals were conducted.<br /><br />

The Murray Research Archive holds original record paper data from all 56 cases (<b>The data have been digitized and are available for on-line access.)</b>  <br/><br />

<b>Audio Data Availability Note:</b> This study contains audio data that have been digitized. There are 3 audio files available.",,10.7910/DVN/8LX9AW,2022-03-31,2026-04-20T23:43:52,harvard-murray-archive,10.7910_DVN_8LX9AW,v5.3,API-CALL
150,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/DTVXYM,4.3,"Berkeley Social Contexts of Learning Study, 1981-1991","The purpose of this study was to examine social contexts of learning in bilingual classrooms. Researchers examined the perceptions of students, school faculty/staff, and parents to find what influences learning for bilingual students. The study contains two waves, the first from 1981-1983 and the second from 1989-1991.
<br /><br />

The first wave involved 265 mostly limited English speaking male and female students in the 2nd and 5th grades of eight elementary schools in three separate school districts from the San Francisco Bay area. One-hundred seventeen of the students were children of Mexican immigrants in predominantly Spanish-speaking homes, 46 were children of Chinese immigrants in predominantly Cantonese-speaking homes, and the rest were mostly African-Americans living in predominantly English-speaking homes. Many of the parents and school staff for these children were also participants in the study.<br /><br />

The first wave was conducted by over 50 researchers and was grounded in classroom observation. The researchers collected test-retest-retest scores on standardized reading tests (SDRT) to assess rates of summer and school-year language learning while controlling for previous achievement. Family, teachers, principals and students were interviewed; questioning was conducted in English, Spanish, or Cantonese, depending upon the needs of the respondent. Classroom observation focused on students' learning strategies and teachers' lesson tactics, yielding 200 hours of classroom interaction documented on videotape and over 1600 total hours of classroom observations.
<br /><br />

The second wave was a follow-up of the Spanish-speaking students. School and administrative records were used to analyze students' schooling careers. Seventy-seven of these students were located for follow-up; two Spanish-speaking graduated students interviewed people who knew the 40 subjects who were not otherwise accounted for in the second wave.<br /><br />

The Murray Research Archive holds original record paper data, and audiotape data from the study <b>(paper data have been digitized and are available for online access.)</b>  <br/><br />

<b>Audio Data Availability Note:</b> This study contains audio data that have been digitized. There are 1903 audio files available.",,10.7910/DVN/DTVXYM,2018-03-23,2026-04-20T23:44:03,harvard-murray-archive,10.7910_DVN_DTVXYM,v4.3,API-CALL
151,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/WRQ3QI,4.0,"Fear of Success in School Age Males and Females, 1973","This research was a replication of the behavioral and nonbehavioral aspects of Horner's fear of success work, using preadolescent males and females as participants. It aimed to determine at what point in chronological development motive-to-avoid-success imagery in projective stories was related to performance decrements in competitive situations, and to investigate sex-related differences in this relationship and in types of imagery expressed.
<br /><br />

Participants were 386 white, middle-class students (196 males and 190 females) in the 5th, 7th, 8th, 9th, and 11th grades in Ann Arbor, Michigan. Participants were volunteers from classes of those teachers who were interested in participating in the study.<br /><br />

The data were collected between November, 1972, and February, 1973. Five verbal projective story cues (Thematic Apperception Test (TAT) cues adapted from Horner,1968) were given to students in their classrooms. Participants also performed a series of scrambled word tasks under five different experimental conditions: nonexplicit competitive group, competition against a group, competition against a same sex peer, competition against an opposite sex peer, and noncompetitive alone. Participants were given a modified version of the Broverman et al. (1972) Sex Role Questionnaire, and a 20-minute structured interview regarding future plans (i.e., college, marriage, career, etc.), parental expectations, siblings, friends, best things about the self, and females' attitudes toward women's liberation.
<br /><br />

The Murray Research Archive holds typed Thematic Apperception Tests, original record paper data, and coding sheets. The Murray Archive also holds a 1979 follow-up of this sample (see <a href=""https://doi.org/10.7910/DVN/KWMWPT"" target=""_blank"">Ratliff, Log# 00555</a>).",,10.7910/DVN/WRQ3QI,2024-10-01,2026-04-20T23:44:09,harvard-murray-archive,10.7910_DVN_WRQ3QI,v4.0,API-CALL
152,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/QXXBFL,2.1,"The Effect of Welfare Women's Working on Their Families, 1969-1972","This study was designed to study low-income mothers and their work, particularly how employment affects home and personal life and in what ways, if any, current family structure is a barrier to employment.

<br /><br />The sample was drawn from current and closed (6 months to 3 years) New York state welfare lists. In the first wave (1969-1970), women who had at least one teenage child and lived in a small to medium-sized town, took part in interviews. Topics covered in the extensive first wave interview included basic family and demographic information, employment history, attitudes toward child rearing and day care, satisfaction, and aspirations.<br /><br />

One year later, a follow-up questionnaire was completed by approximately 88% of the original sample. This self-administered questionnaire included items on religion, job search activities, health, support systems, and welfare history. A short, third wave questionnaire was mailed to a subsample of respondents in 1971 and 1972. Items examined included husband's background, self-assessment as a homemaker, husband's work, and role conflicts. Third wave data are available for 100 women.
<br /><br />

The Murray Archive holds additional analogue materials for this study (paper data from each of the three waves of data collection). If you would like to access this material, please apply to use the data.",,10.7910/DVN/QXXBFL,2017-10-02,2026-04-20T23:44:20,harvard-murray-archive,10.7910_DVN_QXXBFL,v2.1,API-CALL
153,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/TVXUIN,3.1,"MADICS Study of Adolescent Development in Multiple Contexts, 1991-2012","The main purposes of this longitudinal study were to describe and understand the influences of social context on the psychological determinants of behavioral choices and developmental trajectories during adolescence. Data were collected from multiple informants, on an economically and ethnically diverse sample of adolescents and their families.
<br /><br />  The sample of 1,482 families with adolescent children is unique in that it includes a large proportion (61%) of African-American families and a broad range of socio-economic status among both African-American and European-American families. The sample is drawn from a county with several different ecological settings including rural, low income, and high risk urban neighborhoods. Data collection began in Fall 1991 as the adolescents entered middle school and continued into 2012. Data were collected from the adolescents, parents (both primary and secondary care givers), older siblings, school personnel, school records, and the 1990 census data banks via in-home and telephone interviews and self-administered questionnaires. 
<br /><br />  The Murray Research Archive holds numeric file data for the first 8 waves of the study.; 2015-11-04",,10.7910/DVN/TVXUIN,2018-01-23,2026-04-20T23:44:28,harvard-murray-archive,10.7910_DVN_TVXUIN,v3.1,API-CALL
154,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/UIELQI,2.1,"Sex Differences in Attitudes Towards Computers, 1986","The purpose of this 1986 study was to assess the attitudes towards computers of first year students at Harvard and Radcliffe Colleges. Attitudes were studied in an attempt to ascertain the factors that predicted interest in computers at the college level. The effects of Harvard's core computer literacy requirement were also studied.
<br /><br />

A total of 270 first-year students at Harvard and Radcliffe participated in this study. Questionnaires were distributed to students early in the fall, and in December a second questionnaire was given to those students who had completed and returned the first questionnaire.<br /><br />

The precoded questionnaire solicited demographic information, and contained two scales measuring attitudes towards the core computer requirement and towards the use of computers. The questionnaire also contained several open-ended Thematic Apperception Test (TAT)-type response cues, such as: ""Jane is a Classics major. The Classics department is undergoing a large push towards computerization. Jane...""
<br /><br />

The Murray Research Archive holds the original record paper questionnaires from both waves of data collection, and numeric file data from coded responses.",,10.7910/DVN/UIELQI,2022-09-07,2026-04-20T23:44:49,harvard-murray-archive,10.7910_DVN_UIELQI,v2.1,API-CALL
155,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/XO0DKD,4.3,"Second Duke Adaptation Study, 1968-1976","The purpose of the study was to understand normal development during the middle years as participants entered old age; to examine the process by which individuals adapt to normative life transitions (e.g., empty nest, retirement, widowhood); and to identify the ""normal"" psychological, social, and biomedical changes that characterize middle and later life. It was initiated to complement features of the First Duke Longitudinal Study through the inclusion of a younger sample of late middle age adults (i.e., 46-71 years of age), through its emphasis on ""adaptation"" in late middle age, and through its utilization of a cross-sequential design.
<br /><br />

Conceived of as a short-term longitudinal study, the study included 10 age-sex cohorts delineated by five-year age intervals ranging from 46 to 71 years of age at the start of data collection. Data were collected in four waves during a six-year period: 1968-1970, 1970-1972, 1972-1974, and 1974-1976. The sample consisted of 502 White American participants, 261 men and 241 women, ages 45 to 71 at the first wave of data collection. Of these, a core sample of 347 participants provided
complete data for each of the initial four waves of data collection. The sampling frame for the study consisted of enrollees from the membership lists of the major health insurance association in Durham County, North Carolina.
<br /><br />

Data collected during the initial six-year phase of the study focused on physical, psychological, and social domains. Psychological data were collected on intelligence, personality, and vigilance functioning. Social data included a set of self-report scales also related to the psychological measures. Participants were also examined and rated by a medical doctor, given various laboratory tests, and medical histories were obtained.<br /><br /> 

The Murray Research Archive numeric file data from all four waves. Follow-up of study participants is not permitted.",,10.7910/DVN/XO0DKD,2022-09-06,2026-04-20T23:44:58,harvard-murray-archive,10.7910_DVN_XO0DKD,v4.3,API-CALL
156,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/IIYSUH,1.3,"Seven College Study: Goals, Attitudes, Values, and Experiences of Undergraduates at the Seven College Conference of Schools, 1981-1985","The Seven College Study was designed to compare men's and women's self-esteem, interpersonal self-confidence, and self-concepts by assessing the extent to which these personality traits are associated with sex-role-related goals, plans for marriage and family, preferences for combining career and family responsibilities, and future life priorities. The participants were women enrolled at the Seven College Conference Schools, and men enrolled at Harvard and Vassar Colleges.
<br /><br />

The Seven College Conference schools were selected based on previous research indicating that a significantly high number of female achievers are graduates of these schools. A sample of men enrolled at Harvard and Vassar was included in the study so that the goals and interests of the women could be compared with those of men enrolled in comparable colleges.<br /><br />

Questionnaires were distributed to a random sample of students from the classes of 1981-85 in February 1981 and were completed during the next two months. The response rate was over 75%, resulting in a sample of almost 4000 women and 600 men. In 1982, students from the classes of 1982-84 completed a follow-up questionnaire. In 1983-84, a second follow-up was distributed to the class of 1984.
<br /><br />

Identical questionnaires were sent to the men and women. The questionnaires took approximately 30 minutes to complete, and included information on demographic and family background, life goals, career values, self-esteem, and self-concepts. The questionnaires also included information on college experiences, attitudes towards college programs and services, and stress.<br /><br />

The Murray Research Archive holds numeric data files for all three waves of this study.",,10.7910/DVN/IIYSUH,2022-04-05,2026-04-20T23:45:04,harvard-murray-archive,10.7910_DVN_IIYSUH,v1.3,API-CALL
157,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/T278DB,1.4,"California Southeast Asian Mental Health Needs Assessment Study, 1986-1987","The central purpose of this needs assessment epidemiological study was to investigate and to document the mental health needs, mental health service utilization, as well as use of indigenous healers among Southeast Asian refugees both currently in ten counties in California, and formerly in their native countries.
<br /><br />

The total sample consisted of 2,773 participants: 867 Vietnamese-Americans; 590 Cambodians-Americans; 723 Lao-Americans; 302 Hmong-Americans; 291 Chinese-Vietnamese-Americans. Of the 2,773 participants, 1534 (55.3%) were male: 508 Vietnamese, 423 Lao, 290 Cambodian, 164 Hmong, and 149 Chinese-Vietnamese, and 1239 (43.7%) were female: 359 Vietnamese, 300 Cambodian, 300 Lao, 142 Chinese-Vietnamese, and 138 Hmong, ranging from 18 to 68 years.<br /><br />

The Asian Community Mental Health Services initiated a statewide survey assessing the mental health needs of Southeast Asian refugees living in California. The study, conducted between August, 1986 and April, 1987, examined health beliefs, and help-seeking behaviors.<br /><br />

The Murray Research Archive holds numeric file data from this study in SPSS format, and a follow-up study may only be performed with the collaboration of the Contributor.",,10.7910/DVN/T278DB,2022-09-27,2026-04-20T23:45:15,harvard-murray-archive,10.7910_DVN_T278DB,v1.4,API-CALL
158,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/4DLXNV,2.4,"Life Styles of Educated Adult Women, 1961-1974","The major purpose of this longitudinal study was to examine factors that influenced the life patterns of a group of highly educated women. The study focused primarily on the role of work in the women's lives. Data were collected in two waves: from 1961 to 1963, and in 1974.
<br /><br />  The first wave of data collection consisted of a mailed questionnaire sent to all women who received graduate fellowships or scholarships in the arts and sciences, as well as some other graduate professional schools at Columbia, between 1945 and 1951. Usable questionaires were received from 311 women in the first wave (73 in 1961, 238 in 1963). The questionnaire focused on the role of work in the lives of the respondents, educational and employment histories, problems combining career and family, present and past activities, satisfactions derived from present life situations, family background, and present home life.
<br /><br />  In the second wave, questionnaires were sent to all of the original respondents who could be reached. A total of 226 usable questionnaires were returned. This self-administered questionnaire emphasized work-related experiences and the extent to which the women were able to realize their goals. There were both precoded and open-ended items concerning employment history, current work schedule, sex discrimination in employment, achievements, educational history, marital status, and children's employment.<br /><br />  The Murray Research Archive holds all original record paper data, and numeric data files from both waves of the study.",,10.7910/DVN/4DLXNV,2022-02-17,2026-04-20T23:45:27,harvard-murray-archive,10.7910_DVN_4DLXNV,v2.4,API-CALL
159,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/GFDADU,1.2,"Follow-up and Replication of Prevalence of Bulimia Among College Students, 1991-1992","These data were collected as a follow-up and replication of Colby, Ware, and Zuckerman's ""Prevalence of Bulimia Among College Students"" (Log #00871) study which surveyed a random sample of college students from Harvard University in 1982. The purpose of the replication was to examine changes in the prevalence of dieting behavior and eating disorder symptoms from 1982 to 1992. The follow-up was designed to assess whether any change in eating behaviors had occurred during the transition to early adulthood.
<br /><br />

In 1991-92, surveys were sent randomly to 1200 students; 799 (564 women and 235 men) completed questionnaires were returned. A follow-up of 732 of the 901 subjects in the original sample was also conducted.<br /><br />

Participants from both the replication and follow-up studies completed surveys that were similar to the 1982 questionnaire. Surveys included questions about demographic and health background, eating habits, dieting, exercise, and specific symptoms of eating disorders, including 26 items from the Eating Disorder Inventory. The follow-up questionnaire also included questions about family and career, as well as the Rosenberg Self-Esteem Scale.<br /><br />

The Murray Research Archive holds original record paper questionnaires, and numeric file data for both the replication and follow-up samples. The Murray Archive also holds data from the original study (See Colby, Zuckerman, and Ware, 00871).",,10.7910/DVN/GFDADU,2022-09-07,2026-04-20T23:45:40,harvard-murray-archive,10.7910_DVN_GFDADU,v1.2,API-CALL
160,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/DTRJ4W,2.3,"Two Generations of College-Educated Women: The Post-parental Phase of the Life Cycle, 1957-1979","This study explored the experiences of women in the postparental phase of the life cycle, with a view toward understanding how factors such as education, work, family relationships, and self-concept contribute to adaptation and coping.
<br /><br />   In the first wave (1957) of this longitudinal study, extensive interviews were conducted with 25 women, aged 47 to 69. Respondents were recruited from alumnae, civic, and political groups in the suburban New York City area. They all met the following criteria: had at least a bachelor's degree; lived in a family with mother and father present; never worked full-time permanently while raising children; and had no children living at home for at least one year prior to the interview.
The interview included a variety of demographic and open-ended questions which probed participants' responses to and means of coping with departure of children from the home, expectations and plans concerning work, reactions to menopause and aging, health issues, self-image, and relationships with family members and friends. <br /><br />   The second wave of data collection (1978-1979) included both a follow-up of 19 of the original 25 respondents who were still living, and a replication sample of 30 additional women who met the selection criteria for the original sample. Two in-depth interviews and a self-administered questionnaire were used to obtain information on attitudes toward the women's movement, present activities and future plans (regarding continuing education, volunteer experiences, work and retirement, etc.), physical and emotional well being, coping styles, and sources and levels of satisfaction. Thematic Apperception Test (TAT) picture cues were included in the assessment.
<br /><br />   The Murray Archive holds additional analogue materials for this study (paper data from both waves of the study). If you would like to access this material, please apply to use the data.",,10.7910/DVN/DTRJ4W,2022-02-20,2026-04-20T23:45:50,harvard-murray-archive,10.7910_DVN_DTRJ4W,v2.3,API-CALL
161,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/TTCHDM,1.2,"Cultural Continuity Study, 1966-1972","The purpose of this longitudinal study was to follow the lives of educated American women from their senior year in college for five years post graduation in order to examine the cultural values and role dilemmas of educated women in the two traditional fields of nursing and teaching.
<br /><br />

In 1966, 473 nurses from 20 nursing schools and 250 teachers from 6 teachers' colleges completed a nine-page questionnaire regarding their background, attitudes toward education, career plans, role preferences, and personality. Both samples were similar in socioeconomic background. Data on race and ethnicity were not compiled.<br /><br />

Each participant completed a value inventory in which she indicated her values and the values of eight significant others on a continuum ranging from (1) placing a ""very high value on education and career"" to (9) placing a ""very high value on motherhood and the family."" A series of object scales designed to measure ego strength, sense of well-being, and flexibility were also included in the questionnaire. A follow-up questionnaire was mailed to original participants in 1972 and returned
by 352 subjects. In addition to containing many items from the original questionnaire, the follow-up addressed several related factors, including the relationship between actual career and marital activities and those anticipated as students, the perception and resolution of career vs. marital conflicts, and the psychological and structural mechanism of conflict resolution and decision making.
<br /><br />

The Murray Research Archive holds numeric file data for the original 1966 study and the 1972 follow-up.",,10.7910/DVN/TTCHDM,2022-09-27,2026-04-20T23:46:02,harvard-murray-archive,10.7910_DVN_TTCHDM,v1.2,API-CALL
162,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/DBAFFT,3.4,"Career Aspirations Among Smith Undergraduates: A Longitudinal Study, 1975-1978","This longitudinal study was designed to investigate intrapsychic variables that might influence women's career aspirations and ultimate career choice.
<br /><br />

The first wave of data collection was conducted in spring, 1975. One hundred and ten Smith College undergraduates, enrolled in an introductory psychology course, volunteered to participate in this questionnaire study. The battery of questionnaires included Mehrabian's need achievement and affiliation scales, a modified Internal-External scale (adapted from Black), attributional patterns for success and failure in various occupations, Spence's scale tapping attitudes toward work and family, attitudes toward the women's movement, Goff's agency/communion value scale, and information on background and life goals.<br /><br />

The second wave of data collection was conducted in 1978, when 22 of the original respondents, mostly seniors, were followed up. At that time, 123 more students (classes of '78, '81, and '82) were added to the sample. The second wave focused on determinants of career choice and included many of the scales used in the first wave. In addition, participants completed items on perceived parental attributes and attitudes; job ratings in terms of difficulty, effort required, anticipated success or failure; masculinity/femininity, and degree of agency or communion; and McKeachie's scale of values. Several Thematic Apperception Test (TAT) picture cues were also administered.<br /><br />

The Murray Research Archive holds responses to Thematic Apperception Test cues and numeric file data (<b>paper data have been digitized and are available for online access</b>).",,10.7910/DVN/DBAFFT,2022-02-22,2026-04-20T23:46:08,harvard-murray-archive,10.7910_DVN_DBAFFT,v3.4,API-CALL
163,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/KWJLIP,2.2,"Harvard Sexual Harassment Survey, 1983","This survey was conducted to determine the extent to which sexual harassment is a widespread problem at Harvard University. Due to the nature of sexual harassment, an anonymous survey was used to determine the prevalence of harassment at Harvard instead of analyzing reported cases.<br /><br />

Questionnaires were completed by 322 male and 349 female graduate students, 720 female and 710 male undergraduates, and 432 male (75%) and 72 female (98%) members of the Faculty of Arts and Sciences. The students' names were selected randomly from registrar's lists.<br /><br />

The questionnaires addressed attitudes toward and definitions of sexual harassment, general experiences of sexual harassment, experiences of harassment involving authority figures, experiences involving peers, experiences as the accused in a sexual harassment situation, and potential remedies. Both open-ended and precoded questions were included. The measure is similar to the one used in the Federal Sexual Harassment Survey by the U.S. Merit Systems Protection Board (00661), also archived at the Murray Research Archive.<br /><br />

The Murray Research Archive holds numeric file data, and transcribed copies of the written responses to the open-ended questions.",,10.7910/DVN/KWJLIP,2022-09-01,2026-04-20T23:46:21,harvard-murray-archive,10.7910_DVN_KWJLIP,v2.2,API-CALL
164,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/VF4PIP,1.3,"Study of Life Transitions (MSALT), 1983 - 1985","The purpose of this study was to investigate the impact of changes in classroom and family environments on adolescents' achievement-related beliefs, motives, values, and behaviors.
<br /><br />  A sample of sixth graders, their teachers, and their parents were drawn from 12 public school districts located in middle-income communities in southeastern Michigan; it included approximately 3,248 adolescents; 95% of the teachers (representing 143 classrooms), and 72% of the parents asked to participate. School districts were selected where the adolescents would experience the traditional junior high school transition as they moved from the sixth to the seventh grade. During the first two years of this study, adolescents filled out extensive questionnaires in their math classrooms two times in the sixth grade and two times in the seventh grade. During the same testing periods, teachers and parents completed their own questionnaires.
<br /><br />  The student questionnaires contained indicators of a wide range of environmental characteristics and achievement-related motivational construct's, and assessed a broad range of students' beliefs, values, and attitudes concerning mathematics, English, physical skills, social activities, and other constructs. There were also items eliciting information about students' perceptions of their teacher's fairness and friendliness, competition and social comparison among students, the opportunity for comparative learning among students, and their teacher's interest in mathematics. The teachers completed individual assessments of each of their students, and completed questionnaires that assessed their general beliefs about students and their classroom practices. The parents completed questionnaires concerning their own beliefs about mathematics, family decision-making and other topics, and their perception of their children. Classroom observations of more macro-level instructional processes were also completed.
<br /><br /> Most of the items were answered on Likert scales.  The Murray Center holds computer-accessible data for waves 1 - 8 of this study.",,10.7910/DVN/VF4PIP,2022-09-07,2026-04-20T23:46:33,harvard-murray-archive,10.7910_DVN_VF4PIP,v1.3,API-CALL
165,*,1,https://www.murray.harvard.edu,https://doi.org/10.7910/DVN/AWB4FW,1.2,"Life Patterns Study, 1982","The 1982 Life Patterns Study is based on life histories of 2,902 alumnae who graduated from three colleges between 1934 and 1979. The purpose of this study was to examine how women's increased access to colleges and graduate schools in the 20th century influenced their life patterns. Rather than having to make a choice between full-time work and full-time homemaking, women increasingly engaged in multiple roles simultaneously: work, post-college education, marriage, and child-rearing.
<br /><br />  This survey includes a coed college in the Midwest (n=941), a Seven Sisters college in the Northeast (n=1,223), and an African American women's college in the South (n=633) allowing for comparisons to be made by race (2131 white, 663 black, and 108 others) and by college. Responses from ten classes (1934, 1939, 1944, 1949, 1954, 1959, 1964, 1969, 1974, and 1979) also provide comparisons by age cohort. The study consisted of a fifteen-page questionnaire composed of both open- and closed-ended questions. The major topics covered in the questionnaire were: (1) education; (2) life pattern choices; (3) current activities; (4) major life events; (5) employment (6) family; (7) community service; and (8) reflections, as well as some basic background information. The questionnaire also included a Life Events Chart with the beginning and ending dates of major events in seven domains: (1) education; (2) marriage; (3) births of children; (4) co-residence; (5) employment; (6) residential moves; and (7) other events. This measure enables researchers to reconstruct the distinctive timing patterns and role combinations that different cohorts typically held at any given age.
<br /><br />  Original paper materials for this study are available and applicants must be approved prior to using these materials.",,10.7910/DVN/AWB4FW,2022-09-27,2026-04-20T23:46:59,harvard-murray-archive,10.7910_DVN_AWB4FW,v1.2,API-CALL
